league_id,fixture_id,league_name,league_country,league_logo,league_flag,event_date,event_timestamp,first_half_start,second_half_start,round,status,status_short,elapsed,venue,referee,home_team_team_id,home_team_team_name,home_team_logo,away_team_team_id,away_team_team_name,away_team_logo,goals_home_team,goals_away_team,score_half_time,score_full_time,score_extra_time,score_penalty
39,868168,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2023-02-11T15:00:00+00:00,1676127600,1676127600,1676131200,Regular Season - 23,Match Finished,FT,90,Selhurst Park,M. Oliver,52,Crystal Palace,https://media-1.api-sports.io/football/teams/52.png,51,Brighton,https://media-2.api-sports.io/football/teams/51.png,1,1,0-0,1-1,,
39,868169,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2023-02-11T15:00:00+00:00,1676127600,1676127600,1676131200,Regular Season - 23,Match Finished,FT,90,Craven Cottage,A. Madley,36,Fulham,https://media-2.api-sports.io/football/teams/36.png,65,Nottingham Forest,https://media-3.api-sports.io/football/teams/65.png,2,0,1-0,2-0,,
39,868171,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2023-02-11T15:00:00+00:00,1676127600,1676127600,1676131200,Regular Season - 23,Match Finished,FT,90,King Power Stadium,M. Salisbury,46,Leicester,https://media-1.api-sports.io/football/teams/46.png,47,Tottenham,https://media-3.api-sports.io/football/teams/47.png,4,1,3-1,4-1,,
39,868174,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2023-02-11T15:00:00+00:00,1676127600,1676127600,1676131200,Regular Season - 23,Match Finished,FT,90,St. Mary's Stadium,J. Gillett,41,Southampton,https://media-1.api-sports.io/football/teams/41.png,39,Wolves,https://media-3.api-sports.io/football/teams/39.png,1,2,1-0,1-2,,
39,868166,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2023-02-11T17:30:00+00:00,1676136600,1676136600,1676140200,Regular Season - 23,Match Finished,FT,90,Vitality Stadium,S. Attwell,35,Bournemouth,https://media-1.api-sports.io/football/teams/35.png,34,Newcastle,https://media-1.api-sports.io/football/teams/34.png,1,1,1-1,1-1,,
39,868170,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2023-02-12T14:00:00+00:00,1676210400,1676210400,1676214000,Regular Season - 23,Match Finished,FT,90,Elland Road,P. Tierney,63,Leeds,https://media-1.api-sports.io/football/teams/63.png,33,Manchester United,https://media-2.api-sports.io/football/teams/33.png,0,2,0-0,0-2,,
39,868173,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2023-02-12T16:30:00+00:00,1676219400,1676219400,1676223000,Regular Season - 23,Match Finished,FT,90,Etihad Stadium,R. Jones,50,Manchester City,https://media-3.api-sports.io/football/teams/50.png,66,Aston Villa,https://media-1.api-sports.io/football/teams/66.png,3,1,3-0,3-1,,
39,868172,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2023-02-13T20:00:00+00:00,1676318400,1676318400,1676322000,Regular Season - 23,Match Finished,FT,90,Anfield,S. Hooper,40,Liverpool,https://media-2.api-sports.io/football/teams/40.png,45,Everton,https://media-1.api-sports.io/football/teams/45.png,2,0,1-0,2-0,,
39,868057,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2023-02-15T19:30:00+00:00,1676489400,1676489400,1676493000,Regular Season - 12,Match Finished,FT,90,Emirates Stadium,A. Taylor,42,Arsenal,https://media-1.api-sports.io/football/teams/42.png,50,Manchester City,https://media-2.api-sports.io/football/teams/50.png,1,3,1-1,1-3,,
39,868176,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2023-02-18T12:30:00+00:00,1676723400,1676723400,1676727000,Regular Season - 24,Match Finished,FT,90,Villa Park,S. Hooper,66,Aston Villa,https://media-3.api-sports.io/football/teams/66.png,42,Arsenal,https://media-3.api-sports.io/football/teams/42.png,2,4,2-1,2-4,,
