league_id,fixture_id,elapsed,elapsed_plus,team_id,team_name,player_id,player,assist_player_id,assisted_by,type,detail,comments
39,868195,83,0,48,West Ham,1646,Lucas Paquetá,2473,M. Lanzini,subst,M. Lanzini,
39,868195,84,0,48,West Ham,18955,D. Ings,18819,M. Antonio,subst,M. Antonio,
39,868195,85,0,48,West Ham,18819,M. Antonio,1697,Pablo Fornals,Goal,Normal Goal,
39,868195,86,0,65,Nottingham Forest,129711,B. Johnson,18884,S. Surridge,subst,S. Surridge,
39,868195,88,0,48,West Ham,19428,Jarrod Bowen,0,,Var,Penalty cancelled,
39,868186,15,0,50,Manchester City,6009,J. Álvarez,0,,Goal,Normal Goal,
39,868186,29,0,50,Manchester City,1100,E. Haaland,631,P. Foden,Goal,Normal Goal,
39,868186,45,0,50,Manchester City,631,P. Foden,0,,Goal,Normal Goal,
39,868186,47,0,35,Bournemouth,284797,Dango Ouattara,0,,Card,Yellow Card,Foul
39,868186,51,0,50,Manchester City,18866,C. Mepham,0,,Goal,Own Goal,
39,868186,55,0,50,Manchester City,44,Rodri,19130,K. Phillips,subst,K. Phillips,
39,868186,55,0,50,Manchester City,633,İ. Gündoğan,23,Sergio Gómez,subst,Sergio Gómez,
39,868186,58,0,35,Bournemouth,18866,Chris Mepham,0,,Card,Yellow Card,Foul
39,868186,59,0,35,Bournemouth,2734,P. Billing,19482,J. Rothwell,subst,J. Rothwell,
39,868186,59,0,35,Bournemouth,18869,A. Smith,18815,R. Fredericks,subst,R. Fredericks,
39,868186,60,0,50,Manchester City,19130,Kalvin Phillips,0,,Card,Yellow Card,Foul
39,868186,63,0,50,Manchester City,5,Manuel Akanji,0,,Card,Yellow Card,Foul
39,868186,66,0,35,Bournemouth,18883,Dominic Solanke,0,,Var,Penalty cancelled,
39,868186,72,0,50,Manchester City,19187,J. Grealish,635,R. Mahrez,subst,R. Mahrez,
39,868186,72,0,50,Manchester City,1100,E. Haaland,288699,M. Perrone,subst,M. Perrone,
39,868186,76,0,35,Bournemouth,31057,H. Traorè,196855,J. Anthony,subst,J. Anthony,
39,868186,80,0,50,Manchester City,18861,N. Aké,627,K. Walker,subst,K. Walker,
39,868186,83,0,35,Bournemouth,2490,J. Lerma,0,,Goal,Normal Goal,
39,868187,23,0,40,Liverpool,294,Naby Keïta,0,,Card,Yellow Card,Foul
39,868187,26,0,52,Crystal Palace,18862,Nathaniel Clyne,0,,Card,Yellow Card,Foul
39,868187,46,0,40,Liverpool,294,N. Keïta,19035,H. Elliott,subst,H. Elliott,
39,868187,67,0,40,Liverpool,292,Jordan Henderson,0,,Card,Yellow Card,Foul
39,868187,71,0,52,Crystal Palace,18843,J. Schlupp,19586,E. Eze,subst,E. Eze,
39,868187,71,0,52,Crystal Palace,25927,J. Mateta,1135,O. Édouard,subst,O. Édouard,
39,868187,71,0,40,Liverpool,2678,Diogo Jota,302,Roberto Firmino,subst,Roberto Firmino,
39,868187,71,0,40,Liverpool,283,T. Alexander-Arnold,299,Fabinho,subst,Fabinho,
39,868187,77,0,40,Liverpool,299,Fabinho,0,,Card,Yellow Card,Foul
39,868187,82,0,40,Liverpool,286,Joël Matip,0,,Card,Yellow Card,Foul
39,868187,84,0,40,Liverpool,247,C. Gakpo,310187,Stefan Bajčetić,subst,Stefan Bajčetić,
39,868187,90,4,52,Crystal Palace,2729,Joachim Andersen,0,,Card,Yellow Card,Argument
39,868187,90,3,40,Liverpool,289,Andrew Robertson,0,,Card,Yellow Card,Argument
39,868194,19,0,49,Chelsea,259,Thiago Silva,22094,W. Fofana,subst,W. Fofana,
39,868194,45,3,47,Tottenham,1566,Emerson Royal,0,,Card,Yellow Card,Argument
39,868194,45,6,49,Chelsea,548,Hakim Ziyech,0,,Card,Yellow Card,Argument
39,868194,45,3,49,Chelsea,978,Kai Havertz,0,,Card,Yellow Card,Argument
39,868194,45,5,49,Chelsea,548,Hakim Ziyech,0,,Var,Red card cancelled,
39,868194,46,0,47,Tottenham,180,O. Skipp,0,,Goal,Normal Goal,
39,868194,59,0,47,Tottenham,164,Ben Davies,0,,Card,Yellow Card,Foul
39,868194,62,0,49,Chelsea,548,H. Ziyech,2810,D. Zakaria,subst,D. Zakaria,
39,868194,62,0,49,Chelsea,2292,R. Loftus-Cheek,19220,M. Mount,subst,M. Mount,
39,868194,74,0,49,Chelsea,19220,Mason Mount,0,,Card,Yellow Card,Argument
39,868194,79,0,47,Tottenham,30435,D. Kulusevski,186,Son Heung-Min,subst,Son Heung-Min,
39,868194,82,0,47,Tottenham,184,H. Kane,175,E. Dier,Goal,Normal Goal,
39,868194,83,0,49,Chelsea,583,João Félix,63577,M. Mudryk,subst,M. Mudryk,
39,868194,83,0,49,Chelsea,645,R. Sterling,1465,P. Aubameyang,subst,P. Aubameyang,
39,868194,89,0,47,Tottenham,2413,Richarlison,47519,Pedro Porro,subst,Pedro Porro,
39,868007,40,0,42,Arsenal,1460,B. Saka,641,O. Zinchenko,Goal,Normal Goal,
39,868007,45,2,42,Arsenal,127769,Gabriel Martinelli,0,,Var,Goal confirmed,
39,868007,45,1,42,Arsenal,127769,Gabriel Martinelli,1460,B. Saka,Goal,Normal Goal,
39,868007,46,0,42,Arsenal,2289,Jorginho,49,T. Partey,subst,T. Partey,
39,868007,46,0,45,Everton,2990,I. Gueye,19150,M. Holgate,subst,M. Holgate,
39,868007,51,0,45,Everton,2936,James Tarkowski,0,,Card,Yellow Card,Foul
39,868007,61,0,45,Everton,19364,N. Maupay,18781,D. Gray,subst,D. Gray,
39,868007,61,0,45,Everton,18758,S. Coleman,19073,B. Godfrey,subst,B. Godfrey,
39,868007,66,0,45,Everton,19073,Ben Godfrey,0,,Card,Yellow Card,Foul
39,868007,71,0,42,Arsenal,37127,M. Ødegaard,1946,L. Trossard,Goal,Normal Goal,
39,868007,72,0,42,Arsenal,1946,L. Trossard,1468,E. Nketiah,subst,E. Nketiah,
39,868007,72,0,42,Arsenal,1464,G. Xhaka,41725,Fábio Vieira,subst,Fábio Vieira,
39,868007,78,0,45,Everton,18805,A. Doucouré,18762,T. Davies,subst,T. Davies,
39,868007,80,0,42,Arsenal,127769,Gabriel Martinelli,1468,E. Nketiah,Goal,Normal Goal,
39,868007,81,0,42,Arsenal,641,O. Zinchenko,1117,K. Tierney,subst,K. Tierney,
39,868007,82,0,42,Arsenal,1460,B. Saka,1161,E. Smith Rowe,subst,E. Smith Rowe,
39,868012,15,0,40,Liverpool,310187,Stefan Bajčetić,0,,Card,Yellow Card,Foul
39,868012,24,0,39,Wolves,280687,Hugo Bueno,21138,R. Aït Nouri,subst,R. Aït Nouri,
39,868012,36,0,39,Wolves,130,Nélson Semedo,0,,Card,Yellow Card,Foul
39,868012,45,4,39,Wolves,2056,Pablo Sarabia,0,,Card,Yellow Card,Foul
39,868012,46,0,39,Wolves,2056,Pablo Sarabia,18753,Adama Traoré,subst,Adama Traoré,
39,868012,53,0,40,Liverpool,299,Fabinho,0,,Card,Yellow Card,Foul
39,868012,64,0,39,Wolves,41621,Matheus Nunes,195103,João Gomes,subst,João Gomes,
39,868012,64,0,39,Wolves,2677,João Moutinho,1605,Daniel Podence,subst,Daniel Podence,
39,868012,66,0,39,Wolves,2676,Rúben Neves,0,,Card,Yellow Card,Argument
39,868012,67,0,40,Liverpool,51617,Darwin Núñez,0,,Var,Goal cancelled,
39,868012,73,0,40,Liverpool,290,V. van Dijk,2678,Diogo Jota,Goal,Normal Goal,
39,868012,76,0,40,Liverpool,2678,Diogo Jota,247,C. Gakpo,subst,C. Gakpo,
39,868012,77,0,40,Liverpool,306,Mohamed Salah,1600,K. Tsimikas,Goal,Normal Goal,
39,868012,79,0,39,Wolves,2887,R. Jiménez,54,Diego Costa,subst,Diego Costa,
39,868012,79,0,40,Liverpool,310187,Stefan Bajčetić,292,J. Henderson,subst,J. Henderson,
39,868012,89,0,40,Liverpool,51617,D. Núñez,302,Roberto Firmino,subst,Roberto Firmino,
39,868012,89,0,40,Liverpool,283,T. Alexander-Arnold,296,J. Milner,subst,J. Milner,
39,868202,15,0,50,Manchester City,631,P. Foden,44,Rodri,Goal,Normal Goal,
39,868202,53,0,34,Newcastle,723,Joelinton,0,,Card,Yellow Card,Foul
39,868202,58,0,50,Manchester City,18861,Nathan Aké,0,,Card,Yellow Card,Foul
39,868202,62,0,34,Newcastle,2939,C. Wilson,2864,A. Isak,subst,A. Isak,
39,868202,62,0,34,Newcastle,138787,A. Gordon,22173,A. Saint-Maximin,subst,A. Saint-Maximin,
39,868202,63,0,34,Newcastle,18901,S. Longstaff,1463,J. Willock,subst,J. Willock,
39,868202,65,0,50,Manchester City,629,K. De Bruyne,636,Bernardo Silva,subst,Bernardo Silva,
39,868202,67,0,50,Manchester City,636,Bernardo Silva,1100,E. Haaland,Goal,Normal Goal,
39,868202,74,0,50,Manchester City,1100,Erling Haaland,0,,Card,Yellow Card,Argument
39,868202,74,0,34,Newcastle,18961,Dan Burn,0,,Card,Yellow Card,Argument
39,868202,76,0,34,Newcastle,10135,Bruno Guimarães,0,,Card,Yellow Card,Handball
39,868202,77,0,34,Newcastle,2507,M. Almirón,19163,J. Murphy,subst,J. Murphy,
39,868202,87,0,34,Newcastle,18961,D. Burn,18941,M. Targett,subst,M. Targett,
39,868202,90,1,34,Newcastle,18894,Jamaal Lascelles,0,,Card,Yellow Card,Argument
39,868196,1,0,35,Bournemouth,2734,P. Billing,0,,Goal,Normal Goal,
39,868196,18,0,42,Arsenal,2597,Takehiro Tomiyasu,0,,Var,Penalty cancelled,
39,868196,22,0,42,Arsenal,1946,L. Trossard,1161,E. Smith Rowe,subst,E. Smith Rowe,
39,868196,34,0,42,Arsenal,41725,Fábio Vieira,0,,Var,Penalty cancelled,
39,868196,46,0,42,Arsenal,2597,T. Tomiyasu,19959,B. White,subst,B. White,
39,868196,57,0,35,Bournemouth,6610,M. Senesi,19482,J. Rothwell,Goal,Normal Goal,
39,868196,62,0,42,Arsenal,49,T. Partey,1161,E. Smith Rowe,Goal,Normal Goal,
39,868196,64,0,35,Bournemouth,19824,J. Zemura,18815,R. Fredericks,subst,R. Fredericks,
39,868196,64,0,35,Bournemouth,19281,A. Semenyo,196855,J. Anthony,subst,J. Anthony,
39,868196,64,0,35,Bournemouth,912,Neto,0,,Card,Yellow Card,Argument
39,868196,69,0,42,Arsenal,1161,E. Smith Rowe,727,R. Nelson,subst,R. Nelson,
39,868196,70,0,42,Arsenal,19959,B. White,727,R. Nelson,Goal,Normal Goal,
39,868196,71,0,35,Bournemouth,19482,J. Rothwell,18872,L. Cook,subst,L. Cook,
39,868196,81,0,42,Arsenal,22224,Gabriel Magalhães,0,,Var,Penalty cancelled,
39,868196,82,0,35,Bournemouth,284797,D. Ouattara,1125,R. Christie,subst,R. Christie,
39,868196,84,0,42,Arsenal,41725,Fábio Vieira,1464,G. Xhaka,subst,G. Xhaka,
39,868196,86,0,35,Bournemouth,18866,Chris Mepham,0,,Card,Yellow Card,Foul
39,868196,90,7,42,Arsenal,727,R. Nelson,0,,Goal,Normal Goal,
39,868197,7,0,52,Crystal Palace,3247,Wilfried Zaha,0,,Var,Goal cancelled,
39,868197,27,0,66,Aston Villa,2729,J. Andersen,0,,Goal,Own Goal,
