league_id,fixture_id,coach_id,coach_name,formation,team_id,startingXI,substitutes
39,868247,20,F. Lampard,4-2-3-1,2273,2273-Kepa-1-G|19720-T. Chalobah-14-D|22094-W. Fofana-33-D|95-B. Badiashile-4-D|2933-B. Chilwell-21-D|2810-D. Zakaria-20-M|5996-E. Fernández-5-M|17-C. Pulišić-10-M|67972-C. Gallagher-23-M|63577-M. Mudryk-15-M|645-R. Sterling-17-F,548-H. Ziyech-22-M|583-João Félix-11-F|2291-M. Kovačić-8-M|19545-R. James-24-D|19220-M. Mount-19-M|1465-P. Aubameyang-9-F|47380-Marc Cucurella-32-D|2280-César Azpilicueta-28-D|2986-É. Mendy-16-G
39,868247,2424,R. De Zerbi,4-2-3-1,18959,18959-Robert Sánchez-1-G|537-J. Veltman-34-D|19265-A. Webster-4-D|18963-L. Dunk-5-D|46731-P. Estupiñán-30-D|18970-P. Groß-13-M|116117-M. Caicedo-25-M|18973-S. March-7-M|6716-A. Mac Allister-10-M|106835-K. Mitoma-22-M|129643-E. Ferguson-28-F,70747-J. Enciso-20-F|1469-D. Welbeck-18-F|38695-J. van Hecke-29-D|130423-B. Gilmour-27-M|26475-D. Undav-21-F|137220-A. Moran-49-M|167663-T. McGill-38-G|311334-F. Buonanotte-40-M|282254-O. Offiah-42-D
39,868248,10,Marco Silva,4-2-3-1,1438,1438-B. Leno-17-G|657-K. Tete-2-D|19145-T. Adarabioyo-4-D|19023-T. Ream-13-D|19549-A. Robinson-33-D|19480-H. Reed-6-M|41104-João Palhinha-26-M|19221-H. Wilson-8-M|899-Andreas Pereira-18-M|2294-Willian-20-M|19329-D. James-21-F,19025-T. Cairney-10-M|19004-B. De Cordova-Reid-14-F|2823-S. Lukić-28-M|104-Carlos Vinícius-30-F|697-M. Solomon-11-F|19657-M. Rodák-1-G|18962-S. Duffy-5-D|18814-I. Diop-31-D|190-Cédric Soares-12-D
39,868248,7,S. Dyche,4-4-2,2932,2932-J. Pickford-1-G|19073-B. Godfrey-22-D|2934-M. Keane-5-D|2936-J. Tarkowski-2-D|2165-V. Mykolenko-19-D|1455-A. Iwobi-17-M|895-J. Garner-37-M|2990-I. Gueye-27-M|18929-D. McNeil-7-M|18781-D. Gray-11-F|19364-N. Maupay-20-F,138417-N. Patterson-3-D|18762-T. Davies-26-M|138786-E. Simms-50-F|2484-Y. Mina-13-D|19150-M. Holgate-4-D|18858-A. Begović-15-G|18741-C. Coady-30-D|328093-I. Samuels-Smith-59-D|284187-S. Mills-56-M
39,868252,18918,Rubén Sellés,4-4-2,105971,105971-G. Bazunu-31-G|1456-A. Maitland-Niles-3-D|2999-J. Bednarek-35-D|25061-A. Bella-Kotchap-37-D|171-K. Walker-Peters-2-D|18769-T. Walcott-32-M|2938-J. Ward-Prowse-8-M|282125-R. Lavia-45-M|199837-K. Sulemana-20-M|195993-C. Alcaraz-26-F|19825-J. Aribo-7-F,2114-M. Djenepo-19-M|15812-P. Onuachu-12-F|278085-S. Edozie-23-F|18945-S. Armstrong-17-M|18946-M. Elyounoussi-24-M|18935-A. McCarthy-1-G|1902-D. Ćaleta-Car-6-D|20600-R. Perraud-15-D|190686-S. Mara-18-F
39,868252,9,R. Hodgson,4-3-3,19143,19143-S. Johnstone-21-G|18847-J. Ward-2-D|2729-J. Andersen-16-D|67971-M. Guéhi-6-D|182201-T. Mitchell-3-D|19586-E. Eze-10-M|3339-C. Doucouré-28-M|18843-J. Schlupp-15-M|19617-M. Olise-7-F|1135-O. Édouard-22-F|3428-J. Ayew-9-F,18806-W. Hughes-19-M|1427-A. Lokonga-8-M|18852-L. Milivojević-4-M|18844-J. Tomkins-5-D|25927-J. Mateta-14-F|126949-C. Richards-26-D|18849-J. McArthur-18-M|284554-O.Goodman-63-G|18853-J. Riedewald-44-M
39,868255,1594,Lopetegui,4-4-2,1590,1590-José Sá-1-G|130-Nélson Semedo-22-D|19147-C. Dawson-15-D|18744-M. Kilman-23-D|41606-Toti-24-D|41621-Matheus Nunes-27-M|195103-João Gomes-35-M|18947-M. Lemina-5-M|2056-Pablo Sarabia-21-M|1165-Matheus Cunha-12-F|54-Diego Costa-29-F,24888-Hwang Hee-Chan-11-F|18753-Adama Traoré-37-F|2677-João Moutinho-28-M|280687-Hugo Bueno-64-D|1864-Pedro Neto-7-F|19495-N. Collins-4-D|204033-J. Hodge-59-M|1605-Daniel Podence-10-M|19341-D. Bentley-25-G
39,868255,90,T. Frank,4-3-3,19465,19465-David Raya-1-G|44871-A. Hickey-2-D|19789-E. Pinnock-5-D|18917-B. Mee-16-D|19346-R. Henry-3-D|19362-J. Dasilva-10-M|30407-C. Nørgaard-6-M|47438-M. Jensen-8-M|20589-B. Mbeumo-19-F|19974-I. Toney-17-F|178077-K. Schade-9-F,20649-Y. Wissa-11-M|15908-M. Damsgaard-24-M|25073-V. Janelt-27-M|2699-S. Ghoddos-14-F|20110-S. Baptiste-26-M|1835-T. Strakosha-22-G|15745-M. Rasmussen-30-D|2731-M. Jørgensen-13-D|15799-F. Onyeka-15-M
39,868253,8831,C. Stellini,3-4-2-1,159,159-H. Lloris-1-G|30776-C. Romero-17-D|175-E. Dier-15-D|133-C. Lenglet-34-D|47519-Pedro Porro-23-M|2735-P. Højbjerg-5-M|180-O. Skipp-4-M|207-I. Perišić-14-M|30435-D. Kulusevski-21-F|186-Son Heung-Min-7-F|184-H. Kane-10-F,168-D. Sánchez-6-D|83-A. Danjuma-16-M|2413-Richarlison-9-F|237129-P. Sarr-29-M|18932-F. Forster-20-G|337929-G. Abbott-77-M|273757-A. Devine-45-M|149550-J. Tanganga-25-D|156428-B. Austin-40-G
39,868253,18151,G. O'Neil,3-4-2-1,912,912-Neto-13-G|18866-C. Mepham-6-D|18940-J. Stephens-3-D|19263-L. Kelly-5-D|19245-M. Tavernier-16-M|19482-J. Rothwell-14-M|2490-J. Lerma-8-M|51572-M. Viña-18-M|1125-R. Christie-10-F|2734-P. Billing-29-F|18883-D. Solanke-9-F,18869-A. Smith-15-D|196855-J. Anthony-32-F|284797-D. Ouattara-11-F|6610-M. Senesi-25-D|161671-I. Zabarnyi-27-D|19281-A. Semenyo-24-F|18872-L. Cook-4-M|19804-K. Moore-21-F|18860-M. Travers-1-G
39,868250,4,Pep Guardiola,3-2-4-1,617,617-Ederson-31-G|626-J. Stones-5-D|567-Rúben Dias-3-D|622-Aymeric Laporte-14-D|44-Rodri-16-M|636-Bernardo Silva-20-M|627-K. Walker-2-F|635-R. Mahrez-26-M|629-K. De Bruyne-17-M|19187-J. Grealish-10-F|1100-E. Haaland-9-F,6009-J. Álvarez-19-F|5-M. Akanji-25-D|19130-K. Phillips-4-M|152982-C. Palmer-80-M|23-Sergio Gómez-21-M|25004-S. Ortega-18-G|284230-R. Lewis-82-D|633-İ. Gündoğan-8-M|18861-N. Aké-6-D
39,868250,14,D. Smith,3-4-2-1,17736,17736-D. Iversen-31-G|8694-W. Faes-3-D|20079-H. Souttar-15-D|18776-Ç. Söyüncü-4-D|2920-T. Castagne-27-M|18786-W. Ndidi-25-M|2926-Y. Tielemans-8-M|158710-V. Kristiansen-16-M|18784-J. Maddison-10-F|148099-K. Dewsbury-Hall-22-F|18788-J. Vardy-9-F,2778-K. Ịheanachọ-14-F|152969-L. Thomas-33-D|18785-N. Mendy-24-M|2925-D. Praet-26-M|1098-P. Daka-20-F|3421-D. Amartey-18-D|284487-Wanya Marçal-40-M|691-Tetê-37-F|18146-D. Ward-1-G
39,868254,5662,D. Moyes,4-3-3,2997,2997-Ł. Fabiański-1-G|1231-V. Coufal-5-D|2726-K. Zouma-4-D|261-T. Kehrer-24-D|18813-A. Cresswell-3-D|1243-T. Souček-28-M|2937-D. Rice-41-M|1646-Lucas Paquetá-11-M|19428-J. Bowen-20-F|18819-M. Antonio-9-F|19361-S. Benrahma-22-F,665-M. Cornet-14-F|19733-F. Downes-12-M|1697-Pablo Fornals-8-M|253-A. Aréola-13-G|18823-B. Johnson-2-D|18955-D. Ings-18-F|2284-Emerson-33-D|2473-M. Lanzini-10-M|144709-J. Anang-49-G
39,868254,7248,Mikel Arteta,4-3-3,20355,20355-A. Ramsdale-1-G|19959-B. White-4-D|1440-R. Holding-16-D|22224-Gabriel Magalhães-6-D|1117-K. Tierney-3-D|37127-M. Ødegaard-8-M|49-T. Partey-5-M|1464-G. Xhaka-34-M|1460-B. Saka-7-F|643-Gabriel Jesus-9-F|127769-Gabriel Martinelli-11-F,2289-Jorginho-20-M|1946-L. Trossard-19-F|727-R. Nelson-24-F|41725-Fábio Vieira-21-M|1468-E. Nketiah-14-F|1161-E. Smith Rowe-10-M|61431-J. Kiwior-15-D|309505-R. Walters-97-D|50999-M. Turner-30-G
39,868251,98,S. Cooper,3-4-1-2,731,731-K. Navas-12-G|371-Felipe-38-D|25916-M. Niakhaté-19-D|44811-S. McKenna-26-D|138780-N. Williams-7-M|2807-R. Freuler-23-M|275170-Danilo-28-M|10122-Renan Lodi-32-M|18746-M. Gibbs-White-10-F|129711-B. Johnson-20-F|8598-T. Awoniyi-9-F,24882-O. Mangala-5-M|18884-S. Surridge-16-F|80-E. Dennis-25-F|900-J. Lingard-11-M|1746-J. Worrall-4-D|18836-W. Hennessey-13-G|1370-A. Ayew-34-F|18904-J. Shelvey-6-M|17365-H. Toffolo-15-D
